"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"3687","ORRF","Orrstown Financial Services Inc","20.25","$192.07M","Finance","Major Banks"
"3688","OFIX","Orthofix Medical Inc. ","58.98","$1.12B","Health Care","Medical/Dental Instruments"
"3689","KIDS","OrthoPediatrics Corp.","42.41","$616.49M","Health Care","Medical/Dental Instruments"
"3690","OSIS","OSI Systems, Inc.","87.67","$1.58B","Technology","Semiconductors"
"3691","OSIR","Osiris Therapeutics, Inc.","17.2","$593.85M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3692","OSMT","Osmotica Pharmaceuticals plc","7.2","$378.14M","Health Care","Major Pharmaceuticals"
"3693","OSN","Ossen Innovation Co., Ltd.","1.859","$12.26M","Basic Industries","Steel/Iron Ore"
"3694","OTEL","Otelco Inc.","16.617","$56.31M","Public Utilities","Telecommunications Equipment"
"3695","OTIC","Otonomy, Inc.","2.39","$73.21M","Health Care","Major Pharmaceuticals"
"3696","OTTW","Ottawa Bancorp, Inc.","13.84","$46.49M","Finance","Savings Institutions"
"3697","OTTR","Otter Tail Corporation","50.63","$2.01B","Public Utilities","Electric Utilities: Central"
"3698","OTLK","Outlook Therapeutics, Inc.","1.08","$101.17M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3699","OSTK","Overstock.com, Inc.","21.06","$677M","Consumer Services","Catalog/Specialty Distribution"
"3700","OVID","Ovid Therapeutics Inc.","2.03","$50.05M","Health Care","Major Pharmaceuticals"
"3701","OXBR","Oxbridge Re Holdings Limited","0.9476","$5.43M","Finance","Property-Casualty Insurers"
"3702","OXFD","Oxford Immunotec Global PLC","16.99","$447.88M","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"3703","PFIN","P & F Industries, Inc.","8.41","$30.12M","Technology","Industrial Machinery/Components"
"3704","PTSI","P.A.M. Transportation Services, Inc.","50.01","$298.72M","Transportation","Trucking Freight/Courier Services"
"3705","PCAR","PACCAR Inc.","67.77","$23.5B","Capital Goods","Auto Manufacturing"
"3706","PACB","Pacific Biosciences of California, Inc.","7.35","$1.1B","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"3707","PCB","Pacific City Financial Corporation","16.9","$270.02M","Finance","Major Banks"
