"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"1","DDD","3D Systems Corporation","12.14","$1.39B","Technology","Computer Software: Prepackaged Software"
"2","MMM","3M Company","207.49","$119.47B","Health Care","Medical/Dental Instruments"
"3","WBAI","500.com Limited","15.69","$666.6M","Consumer Services","Services-Misc. Amusement & Recreation"
"4","WUBA","58.com Inc.","62.13","$9.2B","Technology","Computer Software: Programming, Data Processing"
"5","EGHT","8x8 Inc","19.52","$1.87B","Technology","EDP Services"
"6","AHC","A.H. Belo Corporation","3.99","$86.35M","Consumer Services","Newspapers/Magazines"
"7","AOS","A.O Smith Corporation","52.58","$8.83B","Consumer Durables","Consumer Electronics/Appliances"
"8","ATEN","A10 Networks, Inc.","7.01","$517.33M","Technology","Computer Communications Equipment"
"9","AAC","AAC Holdings, Inc.","2.87","$70.61M","Health Care","Medical Specialities"
"10","AIR","AAR Corp.","36.57","$1.28B","Capital Goods","Aerospace"
"11","AAN","Aaron&#39;s,  Inc.","54.85","$3.98B","Technology","Diversified Commercial Services"
"12","ABB","ABB Ltd","19.57","$41.72B","Consumer Durables","Electrical Products"
"13","ABT","Abbott Laboratories","78.59","$138.04B","Health Care","Major Pharmaceuticals"
"14","ABBV","AbbVie Inc.","80.1","$120.49B","Health Care","Major Pharmaceuticals"
"15","ANF","Abercrombie & Fitch Company","22.4","$1.47B","Consumer Services","Clothing/Shoe/Accessory Stores"
"16","ABM","ABM Industries Incorporated","36.01","$2.38B","Finance","Diversified Commercial Services"
"17","AKR","Acadia Realty Trust","27.93","$2.28B","Consumer Services","Real Estate Investment Trusts"
"18","ACN","Accenture plc","164.2","$104.88B","Miscellaneous","Business Services"
"19","ACCO","Acco Brands Corporation","9.32","$957.53M","Consumer Durables","Publishing"
"20","ATV","Acorn International, Inc.","29.5","$79.06M","Consumer Services","Other Specialty Stores"
"21","ATU","Actuant Corporation","24.49","$1.5B","Technology","Industrial Machinery/Components"
"22","AYI","Acuity Brands, Inc. ","132.28","$5.28B","Consumer Durables","Building Products"
"23","GOLF","Acushnet Holdings Corp.","25.3","$1.89B","Consumer Non-Durables","Recreational Products/Toys"
"24","AGRO","Adecoagro S.A.","7.08","$825.21M","Consumer Non-Durables","Farming/Seeds/Milling"
"25","ADNT","Adient plc","19.28","$1.8B","Capital Goods","Auto Parts:O.E.M."
"26","ADT","ADT Inc.","7.96","$6.1B","Consumer Services","Diversified Commercial Services"
"27","ATGE","Adtalem Global Education Inc.","49.26","$2.85B","Consumer Services","Other Consumer Services"
"28","AAP","Advance Auto Parts Inc","160.62","$11.51B","Consumer Services","Other Specialty Stores"
"29","ADSW","Advanced Disposal Services, Inc.","26.69","$2.37B","Public Utilities","Environmental Services"
"30","WMS","Advanced Drainage Systems, Inc.","25.78","$1.48B","Capital Goods","Containers/Packaging"
"31","ASIX","AdvanSix Inc.","33","$983.49M","Basic Industries","Major Chemicals"
"32","ACM","AECOM","31.53","$4.92B","Consumer Services","Military/Government/Technical"
"33","AEG","Aegon NV","5.36","$10.83B","Finance","Life Insurance"
"34","AER","Aercap Holdings N.V.","45.07","$6.62B","Technology","Diversified Commercial Services"
"35","HIVE","Aerohive Networks, Inc.","5.09","$282.78M","Technology","EDP Services"
"36","AJRD","Aerojet Rocketdyne Holdings, Inc. ","36.57","$2.87B","Capital Goods","Military/Government/Technical"
"37","AMG","Affiliated Managers Group, Inc.","110.53","$5.82B","Finance","Investment Managers"
"38","AFL","Aflac Incorporated","49.17","$37.14B","Finance","Accident &Health Insurance"
"39","AGCO","AGCO Corporation","68.45","$5.36B","Capital Goods","Industrial Machinery/Components"
"40","A","Agilent Technologies, Inc.","81.24","$25.8B","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"41","AEM","Agnico Eagle Mines Limited","42.24","$9.93B","Basic Industries","Precious Metals"
"42","ADC","Agree Realty Corporation","65.47","$2.46B","Consumer Services","Real Estate Investment Trusts"
"43","AL","Air Lease Corporation","38.06","$4.22B","Technology","Diversified Commercial Services"
"44","APD","Air Products and Chemicals, Inc.","180.1","$39.56B","Basic Industries","Major Chemicals"
"45","AYR","Aircastle Limited","19.81","$1.49B","Technology","Diversified Commercial Services"
"46","AKS","AK Steel Holding Corporation","3.04","$961.58M","Basic Industries","Steel/Iron Ore"
"47","ALG","Alamo Group, Inc.","96.89","$1.14B","Capital Goods","Industrial Machinery/Components"
"48","AGI","Alamos Gold Inc.","4.82","$1.89B","Basic Industries","Precious Metals"
"49","ALK","Alaska Air Group, Inc.","61.31","$7.55B","Transportation","Air Freight/Delivery Services"
"50","AIN","Albany International Corporation","76.97","$2.48B","Basic Industries","Textiles"
"51","ALB","Albemarle Corporation","90.79","$9.64B","Basic Industries","Major Chemicals"
"52","AA","Alcoa Corporation","29.66","$5.48B","Basic Industries","Aluminum"
"53","ALEX","Alexander & Baldwin, Inc.","22.97","$1.65B","Consumer Services","Real Estate Investment Trusts"
"54","ALX","Alexander&#39;s, Inc.","368.9","$1.88B","Consumer Services","Real Estate Investment Trusts"
"55","ARE","Alexandria Real Estate Equities, Inc.","135.91","$15.32B","Consumer Services","Real Estate Investment Trusts"
"56","AQN","Algonquin Power & Utilities Corp.","11.04","$5.4B","Public Utilities","Electric Utilities: Central"
"57","BABA","Alibaba Group Holding Limited","183.88","$476.65B","Miscellaneous","Business Services"
"58","Y","Alleghany Corporation","643.23","$9.31B","Finance","Property-Casualty Insurers"
"59","ATI","Allegheny Technologies Incorporated","28.99","$3.64B","Basic Industries","Steel/Iron Ore"
"60","ALLE","Allegion plc","91.2","$8.61B","Consumer Services","Diversified Commercial Services"
"61","AGN","Allergan plc.","140.72","$46.81B","Health Care","Major Pharmaceuticals"
"62","ALE","Allete, Inc.","81.68","$4.21B","Public Utilities","Power Generation"
"63","ADS","Alliance Data Systems Corporation","173.59","$9.46B","Miscellaneous","Business Services"
"64","AB","AllianceBernstein Holding L.P.","29.55","$2.85B","Finance","Investment Managers"
"65","NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.19","$1.16B","Finance","Finance: Consumer Services"
"66","ALSN","Allison Transmission Holdings, Inc.","48.94","$6.34B","Capital Goods","Auto Parts:O.E.M."
"67","ALL","Allstate Corporation (The)","95.01","$31.54B","Finance","Property-Casualty Insurers"
"68","ALLY","Ally Financial Inc.","27.03","$10.88B","Finance","Major Banks"
"69","AYX","Alteryx, Inc.","74","$4.54B","Technology","Computer Software: Prepackaged Software"
"70","ATUS","Altice USA, Inc.","21.51","$15.38B","Consumer Services","Television Services"
"71","MO","Altria Group","52.75","$98.86B","Consumer Non-Durables","Farming/Seeds/Milling"
"72","ACH","Aluminum Corporation of China Limited","10.49","$6.25B","Basic Industries","Aluminum"
"73","AMBR","Amber Road, Inc.","9.92","$276.19M","Technology","Computer Software: Prepackaged Software"
"74","ABEV","Ambev S.A.","4.39","$69.02B","Consumer Non-Durables","Beverages (Production/Distribution)"
"75","AMC","AMC Entertainment Holdings, Inc.","16","$1.66B","Consumer Services","Movies/Entertainment"
"76","AEE","Ameren Corporation","70.93","$17.34B","Public Utilities","Power Generation"
"77","AMRC","Ameresco, Inc.","16.54","$760.45M","Basic Industries","Engineering & Construction"
"78","AMOV","America Movil, S.A.B. de C.V.","14.3","$47.21B","Public Utilities","Telecommunications Equipment"
"79","AAT","American Assets Trust, Inc.","43.82","$2.07B","Consumer Services","Real Estate Investment Trusts"
"80","AXL","American Axle & Manufacturing Holdings, Inc.","16.08","$1.8B","Capital Goods","Auto Parts:O.E.M."
"81","ACC","American Campus Communities Inc","45.03","$6.17B","Consumer Services","Real Estate Investment Trusts"
"82","AEO","American Eagle Outfitters, Inc.","20.66","$3.65B","Consumer Services","Clothing/Shoe/Accessory Stores"
"83","AEP","American Electric Power Company, Inc.","81.4","$40.15B","Public Utilities","Electric Utilities: Central"
"84","AEL","American Equity Investment Life Holding Company","31.97","$2.89B","Finance","Life Insurance"
"85","AXP","American Express Company","108.9","$91.84B","Finance","Finance: Consumer Services"
"86","AFG","American Financial Group, Inc.","99.77","$8.91B","Finance","Property-Casualty Insurers"
"87","AMH","American Homes 4 Rent","21.77","$6.46B","Consumer Services","Real Estate Investment Trusts"
"88","AIG","American International Group, Inc.","43.23","$37.59B","Finance","Property-Casualty Insurers"
"89","AMID","American Midstream Partners, LP","4.02","$216.34M","Public Utilities","Natural Gas Distribution"
"90","ARL","American Realty Investors, Inc.","12.95","$207.16M","Finance","Real Estate"
"91","ARA","American Renal Associates Holdings, Inc","13.88","$451.34M","Health Care","Hospital/Nursing Management"
"92","AWR","American States Water Company","70.51","$2.59B","Public Utilities","Water Supply"
"93","AMT","American Tower Corporation (REIT)","177.92","$78.37B","Consumer Services","Real Estate Investment Trusts"
"94","AVD","American Vanguard Corporation","19.06","$577.9M","Basic Industries","Agricultural Chemicals"
"95","AWK","American Water Works","101.44","$18.34B","Public Utilities","Water Supply"
"96","COLD","Americold Realty Trust","28.77","$4.28B","Consumer Services","Real Estate Investment Trusts"
"97","APU","AmeriGas Partners, L.P.","27.75","$2.58B","Consumer Services","Other Specialty Stores"
"98","AMP","AMERIPRISE FINANCIAL SERVICES, INC.","132.18","$18.02B","Finance","Investment Managers"
"99","ABC","AmerisourceBergen Corporation (Holding Co)","82.98","$17.52B","Health Care","Other Pharmaceuticals"
"100","ANFI","Amira Nature Foods Ltd","1.04","$39.43M","Consumer Non-Durables","Packaged Foods"
"101","AMN","AMN Healthcare Services Inc","49.18","$2.3B","Technology","Professional Services"
"102","AP","Ampco-Pittsburgh Corporation","3.56","$44.48M","Capital Goods","Fluid Controls"
"103","APH","Amphenol Corporation","95.11","$28.35B","Capital Goods","Electrical Products"
"104","AXR","AMREP Corporation","5.79","$47.06M","Consumer Services","Newspapers/Magazines"
"105","AME","AMTEK, Inc.","79.57","$18.07B","Consumer Durables","Metal Fabrications"
"106","APC","Anadarko Petroleum Corporation","44.4","$22.18B","Energy","Oil & Gas Production"
"107","PLAN","Anaplan, Inc.","39.83","$4.98B","Technology","Computer Software: Prepackaged Software"
"108","ANDX","Andeavor Logistics LP","35.28","$8.66B","Energy","Natural Gas Distribution"
"109","AU","AngloGold Ashanti Limited","13.63","$5.61B","Basic Industries","Precious Metals"
"110","BUD","Anheuser-Busch Inbev SA","81.96","$160.35B","Consumer Non-Durables","Beverages (Production/Distribution)"
"111","AXE","Anixter International Inc.","59.34","$1.99B","Consumer Non-Durables","Telecommunications Equipment"
"112","NLY","Annaly Capital Management Inc","10.06","$14.08B","Consumer Services","Real Estate Investment Trusts"
"113","AMGP","Antero Midstream GP LP","12.75","$2.37B","Public Utilities","Natural Gas Distribution"
"114","AM","Antero Midstream Partners LP","24.14","$4.52B","Public Utilities","Natural Gas Distribution"
"115","AR","Antero Resources Corporation","9.15","$2.82B","Energy","Oil & Gas Production"
"116","ANTM","Anthem, Inc.","307.68","$79.08B","Health Care","Medical Specialities"
"117","ANH","Anworth Mortgage Asset  Corporation","4.2","$413.63M","Consumer Services","Real Estate Investment Trusts"
"118","AON","Aon plc","171.65","$41.2B","Finance","Specialty Insurers"
"119","APA","Apache Corporation","33.99","$12.9B","Energy","Oil & Gas Production"
"120","AIV","Apartment Investment and Management Company","49.06","$7.06B","Consumer Services","Real Estate Investment Trusts"
"121","APY","Apergy Corporation","41.98","$3.25B","Technology","Industrial Machinery/Components"
"122","APHA","Aphria Inc.","10.14","$2.54B","Consumer Durables","Specialty Chemicals"
"123","ARI","Apollo Commercial Real Estate Finance","18.09","$2.43B","Consumer Services","Real Estate Investment Trusts"
"124","APO","Apollo Global Management, LLC","29.24","$11.96B","Finance","Investment Managers"
"125","APLE","Apple Hospitality REIT, Inc.","16.52","$3.78B","Consumer Services","Real Estate Investment Trusts"
"126","AIT","Applied Industrial Technologies, Inc.","58.83","$2.28B","Consumer Durables","Industrial Specialties"
"127","ATR","AptarGroup, Inc.","100.81","$6.34B","Consumer Non-Durables","Plastic Products"
"128","APTV","Aptiv PLC","84.27","$21.91B","Capital Goods","Auto Parts:O.E.M."
"129","WTR","Aqua America, Inc.","36","$6.41B","Public Utilities","Water Supply"
"130","AQ","Aquantia Corp.","7.86","$273.96M","Technology","Semiconductors"
"131","WAAS","AquaVenture Holdings Limited","20.65","$552M","Public Utilities","Water Supply"
"132","ARMK","Aramark","30.53","$7.52B","Consumer Services","Restaurants"
"133","ABR","Arbor Realty Trust","12.88","$1.1B","Consumer Services","Real Estate Investment Trusts"
"134","ARC","ARC Document Solutions, Inc.","2.36","$108.06M","Consumer Services","Professional Services"
"135","MT","ArcelorMittal","23.12","$23.34B","Basic Industries","Steel/Iron Ore"
"136","ARCH","Arch Coal, Inc.","93.64","$1.66B","Energy","Coal Mining"
"137","ADM","Archer-Daniels-Midland Company","42.43","$23.76B","Consumer Non-Durables","Packaged Foods"
"138","AROC","Archrock, Inc.","10.08","$1.31B","Public Utilities","Natural Gas Distribution"
"139","ARNC","Arconic Inc.","18.7","$9.07B","Capital Goods","Metal Fabrications"
"140","ARCO","Arcos Dorados Holdings Inc.","8.1","$1.68B","Consumer Services","Restaurants"
"141","ACA","Arcosa, Inc.","33.93","$1.65B","Capital Goods","Industrial Machinery/Components"
"142","RCUS","Arcus Biosciences, Inc.","11.96","$531.67M","Health Care","Major Pharmaceuticals"
"143","ARD","Ardagh Group S.A.","13.24","$3.13B","Consumer Durables","Containers/Packaging"
"144","ASC","Ardmore Shipping Corporation","5.79","$191.64M","Transportation","Marine Transportation"
"145","ACRE","Ares Commercial Real Estate Corporation","15.19","$436.8M","Consumer Services","Real Estate Investment Trusts"
"146","ARES","Ares Management Corporation","23.4","$5.11B","Finance","Investment Managers"
"147","AGX","Argan, Inc.","46.57","$725.13M","Basic Industries","Engineering & Construction"
"148","ARGO","Argo Group International Holdings, Ltd.","70.65","$2.4B","Finance","Specialty Insurers"
"149","ANET","Arista Networks, Inc.","286.54","$21.7B","Technology","Computer Communications Equipment"
"150","AI","Arlington Asset Investment Corp","8.23","$251.61M","Finance","Finance/Investors Services"
"151","ARLO","Arlo Technologies, Inc.","4.46","$331.14M","Consumer Non-Durables","Consumer Electronics/Appliances"
"152","AHH","Armada Hoffler Properties, Inc.","15.2","$760.21M","Finance","Real Estate"
"153","ARR","ARMOUR Residential REIT, Inc.","19.86","$1.02B","Consumer Services","Real Estate Investment Trusts"
"154","AFI","Armstrong Flooring, Inc.","14.53","$375.28M","Consumer Non-Durables","Plastic Products"
"155","AWI","Armstrong World Industries Inc","73.91","$3.66B","Consumer Non-Durables","Plastic Products"
"156","ARW","Arrow Electronics, Inc.","80.28","$6.82B","Consumer Non-Durables","Electronic Components"
"157","AJG","Arthur J. Gallagher & Co.","80.32","$14.78B","Finance","Specialty Insurers"
"158","APAM","Artisan Partners Asset Management Inc.","26.32","$2.02B","Finance","Investment Managers"
"159","ABG","Asbury Automotive Group Inc","71.19","$1.4B","Consumer Durables","Automotive Aftermarket"
"160","ASX","ASE Technology Holding Co., Ltd.","4.02","$8.39B","Technology","Semiconductors"
"161","ASGN","ASGN Incorporated","64.92","$3.41B","Technology","Professional Services"
"162","AHT","Ashford Hospitality Trust Inc","4.81","$485.99M","Consumer Services","Real Estate Investment Trusts"
"163","ASH","Ashland Global Holdings Inc.","78.57","$4.92B","Consumer Durables","Specialty Chemicals"
"164","ASPN","Aspen Aerogels, Inc.","3.52","$84.38M","Consumer Services","RETAIL: Building Materials"
"165","ASB","Associated Banc-Corp","23.45","$3.85B","Finance","Major Banks"
"166","AC","Associated Capital Group, Inc.","41.94","$947.74M","Finance","Investment Bankers/Brokers/Service"
"167","AIZ","Assurant, Inc.","104.14","$6.46B","Finance","Accident &Health Insurance"
"168","AGO","Assured Guaranty Ltd.","43.6","$4.61B","Finance","Property-Casualty Insurers"
"169","AZN","Astrazeneca PLC","41.76","$105.83B","Health Care","Major Pharmaceuticals"
"170","HOME","At Home Group Inc.","24.5","$1.56B","Consumer Services","Home Furnishings"
"171","T","AT&T Inc.","30.82","$224.51B","Public Utilities","Telecommunications Equipment"
"172","ATTO","Atento S.A.","3.96","$292.68M","Public Utilities","Telecommunications Equipment"
"173","ATH","Athene Holding Ltd.","44.58","$8.91B","Finance","Life Insurance"
"174","ATKR","Atkore International Group Inc.","23","$1.06B","Miscellaneous","Industrial Machinery/Components"
"175","AT","Atlantic Power Corporation","2.84","$308.08M","Energy","Electric Utilities: Central"
"176","ATO","Atmos Energy Corporation","98.9","$11.56B","Public Utilities","Oil/Gas Transmission"
"177","AUO","AU Optronics Corp","3.64","$3.5B","Technology","Semiconductors"
"178","ACB","Aurora Cannabis Inc.","7.34","$7.33B","Consumer Durables","Specialty Chemicals"
"179","ATHM","Autohome Inc.","93.04","$10.9B","Technology","EDP Services"
"180","ALV","Autoliv, Inc.","82.76","$7.21B","Capital Goods","Auto Parts:O.E.M."
"181","AN","AutoNation, Inc.","34.89","$3.14B","Consumer Durables","Automotive Aftermarket"
"182","AZO","AutoZone, Inc.","929.32","$23.42B","Consumer Services","Other Specialty Stores"
"183","AVLR","Avalara, Inc.","52.15","$3.47B","Technology","Computer Software: Prepackaged Software"
"184","AVB","AvalonBay Communities, Inc.","194.25","$26.91B","Consumer Services","Real Estate Investment Trusts"
"185","AGR","Avangrid, Inc.","48.71","$15.05B","Public Utilities","Electric Utilities: Central"
"186","AVNS","Avanos Medical, Inc.","47.89","$2.27B","Health Care","Industrial Specialties"
"187","AVYA","Avaya Holdings Corp.","15.67","$1.73B","Public Utilities","Telecommunications Equipment"
"188","AVY","Avery Dennison Corporation","109.71","$9.51B","Consumer Durables","Containers/Packaging"
"189","AVH","Avianca Holdings S.A.","4.89","$609.41M","Transportation","Air Freight/Delivery Services"
"190","AVA","Avista Corporation","40.06","$2.63B","Public Utilities","Power Generation"
"191","AVP","Avon Products, Inc.","3.2","$1.42B","Consumer Non-Durables","Package Goods/Cosmetics"
"192","AVX","AVX Corporation","18.5","$3.12B","Capital Goods","Electrical Products"
"193","EQH","AXA Equitable Holdings, Inc.","20.2","$10.68B","Finance","Specialty Insurers"
"194","AXTA","Axalta Coating Systems Ltd.","26.98","$6.32B","Basic Industries","Paints/Coatings"
"195","AXS","Axis Capital Holdings Limited","57.24","$4.78B","Finance","Property-Casualty Insurers"
"196","AX","Axos Financial, Inc.","32.69","$2B","Finance","Savings Institutions"
"197","AZUL","Azul S.A.","28.95","$3.27B","Transportation","Air Freight/Delivery Services"
"198","AZRE","Azure Power Global Limited","11","$450.34M","Public Utilities","Electric Utilities: Central"
"199","AZZ","AZZ Inc.","46.17","$1.2B","Consumer Durables","Building Products"
"200","BGS","B&G Foods, Inc.","24.99","$1.65B","Consumer Non-Durables","Packaged Foods"
"201","BW","Babcock","0.5985","$100.98M","Capital Goods","Building Products"
"202","BMI","Badger Meter, Inc.","59.85","$1.74B","Capital Goods","Industrial Machinery/Components"
"203","BHGE","Baker Hughes, a GE company","27.1","$28.09B","Energy","Metal Fabrications"
"204","BLL","Ball Corporation","55.21","$18.46B","Consumer Durables","Containers/Packaging"
"205","BANC","Banc of California, Inc.","17.5","$886.36M","Finance","Major Banks"
"206","BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.15","$41.01B","Finance","Commercial Banks"
"207","BBD","Banco Bradesco Sa","11.23","$75.46B","Finance","Major Banks"
"208","BCH","Banco De Chile","31.25","$47.35B","Finance","Commercial Banks"
"209","BLX","Banco Latinoamericano de Comercio Exterior, S.A.","21.37","$844.94M","Finance","Commercial Banks"
"210","BSBR","Banco Santander Brasil SA","11.75","$87.78B","Finance","Commercial Banks"
"211","BSAC","Banco Santander Chile","31.37","$14.78B","Finance","Commercial Banks"
"212","BSMX","Banco Santander Mexico, S.A., Institucion de Ban","6.88","$9.34B","Finance","Commercial Banks"
"213","SAN","Banco Santander, S.A.","4.86","$78.91B","Finance","Commercial Banks"
"214","CIB","BanColombia S.A.","47.95","$11.53B","Finance","Commercial Banks"
"215","BXS","BancorpSouth Bank","32.5","$3.24B","Finance","Major Banks"
"216","BAC","Bank of America Corporation","29.31","$283.1B","Finance","Major Banks"
"217","BOH","Bank of Hawaii Corporation","82.81","$3.44B","Finance","Major Banks"
"218","BMO","Bank Of Montreal","77.58","$49.53B","Finance","Commercial Banks"
"219","NTB","Bank of N.T. Butterfield & Son Limited (The)","39.82","$2.2B","Finance","Commercial Banks"
"220","BK","Bank Of New York Mellon Corporation (The)","52.69","$50.6B","Finance","Major Banks"
"221","BNS","Bank of Nova Scotia (The)","54.63","$66.96B","Finance","Major Banks"
"222","BKU","BankUnited, Inc.","36.65","$3.63B","Finance","Savings Institutions"
"223","BCS","Barclays PLC","8.56","$36.67B","Finance","Commercial Banks"
"224","MPV","Barings Participation Investors","15.26","$160.13M","Consumer Services","Miscellaneous"
"225","BNED","Barnes & Noble Education, Inc","7.11","$338.16M","Consumer Services","Other Specialty Stores"
"226","BKS","Barnes & Noble, Inc.","6.38","$465.86M","Consumer Services","Other Specialty Stores"
"227","B","Barnes Group, Inc.","58.32","$2.99B","Capital Goods","Metal Fabrications"
"228","GOLD","Barrick Gold Corporation","12.31","$21.56B","Basic Industries","Precious Metals"
"229","BAS","Basic Energy Services, Inc.","4.92","$130.68M","Energy","Oilfield Services/Equipment"
"230","BHC","Bausch Health Companies Inc.","24.23","$8.47B","Health Care","Major Pharmaceuticals"
"231","BAX","Baxter International Inc.","75.84","$38.87B","Health Care","Medical/Dental Instruments"
"232","BTE","Baytex Energy Corp","1.82","$1.01B","Energy","Oil & Gas Production"
"233","BBT","BB&T Corporation","51.8","$39.56B","Finance","Major Banks"
"234","BFR","BBVA Banco Frances S.A.","10.67","$2.18B","Finance","Commercial Banks"
"235","BBX","BBX Capital Corporation","6.16","$597.77M","Finance","Real Estate"
"236","BCE","BCE, Inc.","43.55","$39.12B","Public Utilities","Telecommunications Equipment"
"237","BZH","Beazer Homes USA, Inc.","12.09","$388.54M","Capital Goods","Homebuilding"
"238","BDX","Becton, Dickinson and Company","254.37","$68.44B","Health Care","Medical/Dental Instruments"
"239","BDC","Belden Inc","62.25","$2.45B","Basic Industries","Telecommunications Equipment"
"240","BEL","Belmond Ltd.","24.86","$2.54B","Consumer Services","Hotels/Resorts"
"241","BMS","Bemis Company, Inc.","52.87","$4.82B","Consumer Durables","Containers/Packaging"
"242","BHE","Benchmark Electronics, Inc.","27.48","$1.2B","Technology","Electrical Products"
"243","BHLB","Berkshire Hills Bancorp, Inc.","31.65","$1.44B","Finance","Banks"
"244","BERY","Berry Global Group, Inc.","53.25","$6.94B","Consumer Non-Durables","Plastic Products"
"245","BBY","Best Buy Co., Inc.","67.81","$18.25B","Consumer Services","Consumer Electronics/Video Chains"
"246","BEST","BEST Inc.","6.08","$2.35B","Transportation","Trucking Freight/Courier Services"
"247","BHP","BHP Group Limited","52.51","$132.77B","Basic Industries","Precious Metals"
"248","BBL","BHP Group Plc","45.97","$116.24B","Energy","Coal Mining"
"249","BIG","Big Lots, Inc.","31.45","$1.26B","Consumer Services","Department/Specialty Retail Stores"
"250","BH","Biglari Holdings Inc.","136","$281.21M","Consumer Services","Restaurants"
"251","BHVN","Biohaven Pharmaceutical Holding Company Ltd.","47.84","$2.11B","Health Care","Major Pharmaceuticals"
"252","BIO","Bio-Rad Laboratories, Inc.","317.41","$9.51B","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"253","BITA","Bitauto Holdings Limited","19.08","$1.39B","Technology","EDP Services"
"254","BJ","BJ&#39;s Wholesale Club Holdings, Inc.","25.6","$3.52B","Consumer Services","Department/Specialty Retail Stores"
"255","BKH","Black Hills Corporation","71.95","$4.32B","Public Utilities","Electric Utilities: Central"
"256","BKI","Black Knight, Inc.","52.75","$7.88B","Technology","Computer Software: Prepackaged Software"
"257","BSM","Black Stone Minerals, L.P.","17.65","$3.61B","Energy","Oil & Gas Production"
"258","BB","BlackBerry Limited","8.79","$4.81B","Technology","Computer Software: Prepackaged Software"
"259","BLK","BlackRock, Inc.","443.77","$70.35B","Finance","Investment Bankers/Brokers/Service"
"260","BE","Bloom Energy Corporation","16.3","$1.78B","Energy","Industrial Machinery/Components"
"261","APRN","Blue Apron Holdings, Inc.","1.08","$209.25M","Consumer Services","Catalog/Specialty Distribution"
"262","BCRH","Blue Capital Reinsurance Holdings Ltd.","7.14","$62.6M","Finance","Property-Casualty Insurers"
"263","BXG","Bluegreen Vacations Corporation","13.46","$1.01B","Finance","Real Estate"
"264","BXC","BlueLinx Holdings Inc.","30.36","$282.16M","Capital Goods","Wholesale Distributors"
"265","BA","Boeing Company (The)","440.62","$248.94B","Capital Goods","Aerospace"
"266","BCC","Boise Cascade, L.L.C.","27.99","$1.09B","Consumer Services","RETAIL: Building Materials"
"267","BCEI","Bonanza Creek Energy, Inc.","23.55","$483.81M","Energy","Oil & Gas Production"
"268","BOOT","Boot Barn Holdings, Inc.","28.37","$803.69M","Consumer Services","Clothing/Shoe/Accessory Stores"
"269","BAH","Booz Allen Hamilton Holding Corporation","53.52","$7.5B","Consumer Services","Professional Services"
"270","BWA","BorgWarner Inc.","40.9","$8.49B","Capital Goods","Auto Parts:O.E.M."
"271","SAM","Boston Beer Company, Inc. (The)","304.88","$3.54B","Consumer Non-Durables","Beverages (Production/Distribution)"
"272","BXP","Boston Properties, Inc.","131.83","$20.36B","Consumer Services","Real Estate Investment Trusts"
"273","BSX","Boston Scientific Corporation","40.75","$56.48B","Health Care","Medical/Dental Instruments"
"274","BOX","Box, Inc.","20.09","$2.88B","Technology","Computer Software: Prepackaged Software"
"275","BYD","Boyd Gaming Corporation","30.11","$3.38B","Consumer Services","Hotels/Resorts"
"276","BPMP","BP Midstream Partners LP","15.45","$1.62B","Energy","Natural Gas Distribution"
"277","BP","BP p.l.c.","42.58","$143.77B","Energy","Integrated oil Companies"
"278","BPT","BP Prudhoe Bay Royalty Trust","26.86","$574.8M","Energy","Integrated oil Companies"
"279","BRC","Brady Corporation","47.37","$2.49B","Consumer Durables","Miscellaneous manufacturing industries"
"280","BHR","Braemar Hotels & Resorts Inc.","13.38","$435.01M","Consumer Services","Real Estate Investment Trusts"
"281","BDN","Brandywine Realty Trust","15.57","$2.75B","Consumer Services","Real Estate Investment Trusts"
"282","LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.23","$227.58M","Consumer Non-Durables","Farming/Seeds/Milling"
"283","BAK","Braskem S.A.","29.17","$11.61B","Basic Industries","Major Chemicals"
"284","BRFS","BRF S.A.","5.46","$4.43B","Consumer Non-Durables","Meat/Poultry/Fish"
"285","BPI","Bridgepoint Education, Inc.","10.4","$282.28M","Consumer Services","Other Consumer Services"
"286","BGG","Briggs & Stratton Corporation","13.08","$550.73M","Energy","Industrial Machinery/Components"
"287","BFAM","Bright Horizons Family Solutions Inc.","124.64","$7.24B","Miscellaneous","Other Consumer Services"
"288","BEDU","Bright Scholar Education Holdings Limited","11.1","$1.38B","Consumer Services","Other Consumer Services"
"289","BSIG","BrightSphere Investment Group plc","14.14","$1.5B","Finance","Investment Managers"
"290","BV","BrightView Holdings, Inc.","13.75","$1.44B","Consumer Non-Durables","Farming/Seeds/Milling"
"291","EAT","Brinker International, Inc.","45.47","$1.71B","Consumer Services","Restaurants"
"292","BCO","Brink&#39;s Company (The)","78.57","$3.98B","Transportation","Oil Refining/Marketing"
"293","BMY","Bristol-Myers Squibb Company","53.22","$86.89B","Health Care","Major Pharmaceuticals"
"294","BRS","Bristow Group Inc","1.26","$45.11M","Transportation","Transportation Services"
"295","BTI","British American Tobacco p.l.c.","37.95","$87.05B","Consumer Non-Durables","Farming/Seeds/Milling"
"296","BRX","Brixmor Property Group Inc.","17.3","$5.17B","Consumer Services","Real Estate Investment Trusts"
"297","BR","Broadridge Financial Solutions, Inc.","101.49","$11.74B","Miscellaneous","Business Services"
